iter	Passed	Remaining
948	2321	124
949	2323	122
950	2325	119
951	2330	117
952	2331	114
953	2333	112
954	2335	110
955	2337	107
956	2339	105
957	2341	102
958	2346	100
959	2348	97
960	2352	95
961	2354	92
962	2355	90
963	2357	88
964	2361	85
965	2364	83
966	2367	80
967	2369	78
968	2371	75
969	2374	73
970	2377	71
971	2379	68
972	2382	66
973	2384	63
974	2388	61
975	2393	58
976	2396	56
977	2399	53
978	2401	51
979	2403	49
980	2407	46
981	2410	44
982	2412	41
983	2416	39
984	2418	36
985	2420	34
986	2425	31
987	2427	29
988	2433	27
989	2436	24
990	2439	22
991	2441	19
992	2444	17
993	2450	14
994	2452	12
995	2456	9
996	2458	7
997	2464	4
998	2468	2
999	2471	0
